temp	time
60.74	02:57:46
60.73	02:57:57
60.70	02:58:07
60.69	02:58:17
60.67	02:58:27
60.69	02:58:37
60.70	02:58:47
60.66	02:58:57
60.75	02:59:07
60.67	02:59:17
60.66	02:59:27
60.68	02:59:37
60.66	02:59:47
60.68	02:59:57
60.70	03:00:07
60.71	03:00:18
60.71	03:00:28
60.67	03:00:38
60.70	03:00:48
60.70	03:00:58
60.71	03:01:08
60.69	03:01:18
60.67	03:01:28
60.69	03:01:38
60.69	03:01:48
60.68	03:01:58
60.67	03:02:08
60.65	03:02:18
60.64	03:02:29
60.69	03:02:39
60.67	03:02:49
60.69	03:02:59
60.68	03:03:09
60.66	03:03:19
60.68	03:03:29
60.68	03:03:39
60.68	03:03:49
60.67	03:03:59
60.67	03:04:09
60.66	03:04:19
60.65	03:04:29
60.66	03:04:39
60.67	03:04:50
60.65	03:05:00
60.67	03:05:10
60.69	03:05:20
60.69	03:05:30
60.65	03:05:40
60.66	03:05:50
60.67	03:06:00
60.68	03:06:10
60.69	03:06:20
60.69	03:06:30
60.68	03:06:40
60.67	03:06:50
60.66	03:07:01
60.65	03:07:11
60.66	03:07:21
60.66	03:07:31
60.67	03:07:41
60.66	03:07:51
60.66	03:08:01
60.65	03:08:11
60.66	03:08:21
60.67	03:08:31
60.68	03:08:41
60.65	03:08:51
60.64	03:09:01
60.65	03:09:11
60.65	03:09:22
60.64	03:09:32
60.65	03:09:42
60.66	03:09:52
60.64	03:10:02
60.66	03:10:12
60.67	03:10:22
60.66	03:10:32
60.66	03:10:42
60.65	03:10:52
60.65	03:11:02
60.64	03:11:12
60.65	03:11:22
60.64	03:11:33
60.65	03:11:43
60.65	03:11:53
60.66	03:12:03
60.62	03:12:13
60.65	03:12:23
60.64	03:12:33
60.65	03:12:43
60.66	03:12:53
60.63	03:13:03
60.66	03:13:13
60.67	03:13:23
60.65	03:13:33
60.65	03:13:43
60.66	03:13:54
60.64	03:14:04
60.64	03:14:14
60.66	03:14:24
60.65	03:14:34
60.66	03:14:44
60.64	03:14:54
60.65	03:15:04
60.68	03:15:14
60.64	03:15:24
60.61	03:15:34
60.65	03:15:44
60.65	03:15:54
60.64	03:16:04
60.66	03:16:15
60.64	03:16:25
60.61	03:16:35
60.63	03:16:45
60.65	03:16:55
60.65	03:17:05
60.66	03:17:15
60.65	03:17:25
60.63	03:17:35
60.64	03:17:45
60.66	03:17:55
60.64	03:18:05
60.65	03:18:15
60.64	03:18:26
60.65	03:18:36
60.63	03:18:46
60.63	03:18:56
60.65	03:19:06
60.64	03:19:16
60.62	03:19:26
60.64	03:19:36
60.63	03:19:46
60.64	03:19:56
60.66	03:20:06
60.65	03:20:16
60.64	03:20:26
60.63	03:20:36
60.62	03:20:47
60.65	03:20:57
60.62	03:21:07
60.63	03:21:17
60.62	03:21:27
60.61	03:21:37
60.62	03:21:47
60.64	03:21:57
60.65	03:22:07
60.61	03:22:17
60.62	03:22:27
60.62	03:22:37
60.61	03:22:47
60.62	03:22:58
60.64	03:23:08
60.63	03:23:18
60.60	03:23:28
60.62	03:23:38
60.61	03:23:48
60.64	03:23:58
60.64	03:24:08
60.64	03:24:18
60.64	03:24:28
60.61	03:24:38
60.62	03:24:48
60.62	03:24:58
60.61	03:25:08
60.61	03:25:19
60.61	03:25:29
60.61	03:25:39
60.63	03:25:49
60.62	03:25:59
60.62	03:26:09
60.62	03:26:19
60.61	03:26:29
60.64	03:26:39
60.63	03:26:49
60.62	03:26:59
60.63	03:27:09
